year_month,total_revenue,active_customers,top20_share,dormancy_2m_rate_confirmed
2024-01-01,31282.2,54,0.4880705321236996,0.1666666666666666
2024-02-01,31593.58,52,0.4120938494466281,0.0769230769230769
2024-03-01,40141.52,59,0.3996164071514979,0.2033898305084746
2024-04-01,51017.68000000001,55,0.3891386280207176,0.0909090909090909
2024-05-01,40338.15,53,0.4205691138537588,
2024-06-01,59058.09,60,0.428048045576821,
2024-07-01,32395.81,45,0.3728658119676588,
2024-08-01,50327.42,63,0.4412000456212537,
